,count,mean,std,min,max,range,cv_percent
gm_max_raw,20.0,0.0013535546459027988,0.0008205179215852634,6.73747849054303e-05,0.0028948821527221796,0.0028275073678167492,60.61948987940501
gm_max_forward,20.0,9.226859474981202e-06,4.859742711254066e-06,2.2972825651904416e-06,1.8460429385692187e-05,1.6163146820501745e-05,52.669521243185144
gm_max_reverse,20.0,0.0013535546459027988,0.0008205179215852634,6.73747849054303e-05,0.0028948821527221796,0.0028275073678167492,60.61948987940501
I_max_raw,20.0,6.914722383656912e-05,3.631116519609858e-05,4.757174506160899e-06,0.0001383761634888245,0.00013361898898266362,52.512831580803244
I_max_forward,20.0,5.363970768875865e-07,2.7009325262189984e-07,7.875334161559687e-08,9.535818112056913e-07,8.748284695900944e-07,50.3532297731935
I_max_reverse,20.0,6.914722383656912e-05,3.631116519609858e-05,4.757174506160899e-06,0.0001383761634888245,0.00013361898898266362,52.512831580803244
I_min_raw,20.0,4.040129527494677e-09,2.5614325836248397e-09,3.4322929733291803e-10,8.324927254170445e-09,7.981697956837527e-09,63.399763947994224
I_min_forward,20.0,4.040129527494677e-09,2.5614325836248397e-09,3.4322929733291803e-10,8.324927254170445e-09,7.981697956837527e-09,63.399763947994224
I_min_reverse,20.0,4.2871551664369314e-07,2.544547099336096e-07,2.6811684753061664e-08,8.871407279063312e-07,8.603290431532695e-07,59.35281090959153
Von_raw,20.0,0.02545454545454549,0.36241005343665056,-0.5757575757575757,0.6,1.1757575757575758,1423.753781358268
Von_forward,20.0,-0.2909090909090909,0.2090162361169922,-0.6,-0.006060606060605989,0.593939393939394,-71.84933116521607
Von_reverse,20.0,0.2375757575757576,0.18695373440037044,-0.006060606060605989,0.6,0.606060606060606,78.69226065321713
absgm_max_raw,20.0,0.0014033903646824464,0.0008046560856748141,0.00016816246906279028,0.0028948821527221796,0.0027267196836593894,57.3365833145711
absgm_max_forward,20.0,9.966942649654232e-06,5.737653803983434e-06,2.2972825651904416e-06,2.131882280353918e-05,1.902154023834874e-05,57.56683875553835
absgm_max_reverse,20.0,0.0014033903646824464,0.0008046560856748141,0.00016816246906279028,0.0028948821527221796,0.0027267196836593894,57.3365833145711
absI_max_raw,20.0,6.914722383656912e-05,3.631116519609858e-05,4.757174506160899e-06,0.0001383761634888245,0.00013361898898266362,52.512831580803244
absI_max_forward,20.0,5.363970768875865e-07,2.7009325262189984e-07,7.875334161559687e-08,9.535818112056913e-07,8.748284695900944e-07,50.3532297731935
absI_max_reverse,20.0,6.914722383656912e-05,3.631116519609858e-05,4.757174506160899e-06,0.0001383761634888245,0.00013361898898266362,52.512831580803244
absI_min_raw,20.0,4.040129527494677e-09,2.5614325836248397e-09,3.4322929733291803e-10,8.324927254170445e-09,7.981697956837527e-09,63.399763947994224
absI_min_forward,20.0,4.040129527494677e-09,2.5614325836248397e-09,3.4322929733291803e-10,8.324927254170445e-09,7.981697956837527e-09,63.399763947994224
absI_min_reverse,20.0,4.2871551664369314e-07,2.544547099336096e-07,2.6811684753061664e-08,8.871407279063312e-07,8.603290431532695e-07,59.35281090959153
